CPU,Cores,Clock,Process,L3 Cache,TDP
Core i7-870S,4  / 8,2.666 to 3.6 GHz,45 nm,8MB,82 W
Core i7-875K,4  / 8,2.933 to 3.6 GHz,45 nm,8MB,95 W
Core i7-880,4  / 8,3.066 to 3.733 GHz,45 nm,8MB,95 W
Core i7-930,4  / 8,2.8 to 3.066 GHz,45 nm,8MB,130 W
Core i7-970,6  / 12,3.2 to 3.466 GHz,32 nm,12MB,130 W
Core i7-980X,6  / 12,3.333 to 3.6 GHz,32 nm,12MB,130 W
Pentium Dual-Core T4500,2 ,2.3 GHz,45 nm,N/A,35 W
Pentium E5500,2 ,2.8 GHz,45 nm,N/A,65 W
Pentium E5700,2 ,3 GHz,45 nm,N/A,65 W
Pentium E5800,2 ,3.2 GHz,45 nm,N/A,65 W
Pentium E6600,2 ,3.067 GHz,45 nm,N/A,65 W
Pentium E6700,2 ,3.2 GHz,45 nm,N/A,65 W
Pentium E6800,2 ,3.333 GHz,45 nm,N/A,65 W
Pentium G6950,2 ,2.8 GHz,32 nm,3MB,73 W
Pentium G6951,2 ,2.8 GHz,32 nm,3MB,73 W
Pentium P6000,2 ,1877 MHz,32 nm,3MB,35 W
Pentium P6100,2 ,2000 MHz,32 nm,3MB,35 W
Pentium P6200,2 ,2.133 GHz,32 nm,3MB,35 W
Pentium U5400,2 ,1200 MHz,32 nm,3MB,18 W
Xeon E5503,2 ,2000 MHz,45 nm,4MB,80 W
Xeon E5507,4 ,2.266 GHz,45 nm,4MB,80 W
Xeon E5620,4  / 8,2.4 to 2.666 GHz,32 nm,12MB,80 W
Xeon E5630,4  / 8,2.533 to 2.8 GHz,32 nm,12MB,80 W
Xeon E5640,4  / 8,2.666 to 2.933 GHz,32 nm,12MB,80 W
Xeon E5645,6  / 12,2.4 to 2.666 GHz,32 nm,12MB,80 W
Xeon L5609,4 ,1866 MHz,32 nm,12MB,40 W
Xeon L5618,4  / 8,1.866 to 2.266 GHz,32 nm,12MB,40 W
Xeon L5630,4  / 8,2.133 to 2.4 GHz,32 nm,12MB,40 W
Xeon L5638,6  / 12,2 to 2.4 GHz,32 nm,12MB,60 W
Xeon L5640,6  / 12,2.266 to 2.8 GHz,32 nm,12MB,60 W
Xeon W3530,4  / 8,2.8 to 3.066 GHz,45 nm,8MB,130 W
Xeon W3670,6  / 12,3.2 to 3.466 GHz,32 nm,12MB,130 W
Xeon W3680,6  / 12,3.333 to 3.6 GHz,32 nm,12MB,130 W
Xeon X5650,6  / 12,2.666 to 3.066 GHz,32 nm,12MB,95 W
Xeon X5660,6  / 12,2.8 to 3.2 GHz,32 nm,12MB,95 W
Xeon X5667,4  / 8,3.066 to 3.466 GHz,32 nm,12MB,95 W
Xeon X5670,6  / 12,2.933 to 3.333 GHz,32 nm,12MB,95 W
Xeon X5677,4  / 8,3.466 to 3.733 GHz,32 nm,12MB,130 W
Xeon X5680,6  / 12,3.333 to 3.6 GHz,32 nm,12MB,130 W
Athlon 64 2000+,1 ,1000 MHz,65 nm,N/A,8 W
Athlon 64 2600+,1 ,1600 MHz,65 nm,N/A,15 W
Athlon 64 2850e,1 ,1800 MHz,65 nm,N/A,22 W
Athlon 64 3100+,1 ,2000 MHz,65 nm,N/A,25 W
Athlon 64 LE-1640,1 ,2.7 GHz,65 nm,N/A,45 W
Athlon 64 LE-1640B,1 ,2.7 GHz,65 nm,N/A,45 W
Athlon 64 LE-1660,1 ,2.8 GHz,65 nm,N/A,45 W
Athlon 64 X2 4600+,2 ,2.4 GHz,65 nm,N/A,65 W
Athlon 64 X2 5400+,2 ,2.8 GHz,65 nm,N/A,65 W
Athlon 64 X2 5400+ BE,2 ,2.8 GHz,65 nm,N/A,65 W
Athlon 64 X2 5600+,2 ,2.9 GHz,65 nm,N/A,65 W
Athlon 64 X2 5800+,2 ,3 GHz,65 nm,N/A,89 W
Athlon X2 4050e,2 ,2.1 GHz,65 nm,N/A,45 W
Athlon X2 4450e,2 ,2.3 GHz,65 nm,N/A,45 W
Athlon X2 4850e,2 ,2.5 GHz,65 nm,N/A,45 W
Athlon X2 5050e,2 ,2.6 GHz,65 nm,N/A,45 W
Athlon X2 6500 BE,2 ,2.3 GHz,65 nm,2MB,95 W
Athlon X2 7450,2 ,2.4 GHz,65 nm,2MB,95 W
Athlon X2 7550,2 ,2.5 GHz,65 nm,2MB,95 W
Athlon X2 7750 BE,2 ,2.7 GHz,65 nm,2MB,95 W
Athlon X2 QL-60,2 ,1900 MHz,65 nm,N/A,35 W
Athlon X2 QL-62,2 ,2000 MHz,65 nm,N/A,25 W
Athlon X2 QL-64,2 ,2.1 GHz,65 nm,N/A,35 W
Athlon X2 QL-65,2 ,2.1 GHz,65 nm,N/A,35 W
Athlon X2 QL-67,2 ,2.2 GHz,65 nm,N/A,35 W
Opteron 2350 HE,4 ,2000 MHz,65 nm,2MB,79 W
Phenom X3 8250e,3 ,1900 MHz,65 nm,2MB,65 W
Phenom X3 8400,3 ,2.1 GHz,65 nm,2MB,95 W
Phenom X3 8450,3 ,2.1 GHz,65 nm,2MB,95 W
Phenom X3 8450e,3 ,2.1 GHz,65 nm,2MB,65 W
Phenom X3 8550,3 ,2.2 GHz,65 nm,2MB,95 W
Phenom X3 8600,3 ,2.3 GHz,65 nm,2MB,95 W
Phenom X3 8650,3 ,2.3 GHz,65 nm,2MB,95 W
Phenom X3 8750,3 ,2.4 GHz,65 nm,2MB,95 W
Phenom X3 8750 BE,3 ,2.4 GHz,65 nm,2MB,95 W
Phenom X3 8850,3 ,2.5 GHz,65 nm,2MB,95 W
Phenom X4 9100e,4 ,1800 MHz,65 nm,2MB,65 W
Phenom X4 9150e,4 ,1800 MHz,65 nm,2MB,65 W
Phenom X4 9350e,4 ,2000 MHz,65 nm,2MB,65 W
Phenom X4 9450e,4 ,2.1 GHz,65 nm,2MB,65 W
Phenom X4 9550,4 ,2.2 GHz,65 nm,2MB,95 W
Phenom X4 9600B,4 ,2.3 GHz,65 nm,2MB,95 W
Phenom X4 9650,4 ,2.3 GHz,65 nm,2MB,95 W
Phenom X4 9750 (125W),4 ,2.4 GHz,65 nm,2MB,125 W
Phenom X4 9750 (95W),4 ,2.4 GHz,65 nm,2MB,95 W
Phenom X4 9750B,4 ,2.4 GHz,65 nm,2MB,95 W
Phenom X4 9850 (125W),4 ,2.5 GHz,65 nm,2MB,125 W
Phenom X4 9850 (95W),4 ,2.5 GHz,65 nm,2MB,95 W
Phenom X4 9850 BE,4 ,2.5 GHz,65 nm,2MB,125 W
Phenom X4 9850B,4 ,2.5 GHz,65 nm,2MB,95 W
Phenom X4 9950 BE (125W),4 ,2.6 GHz,65 nm,2MB,125 W
Phenom X4 9950 BE (140W),4 ,2.6 GHz,65 nm,2MB,140 W
Sempron X2 2100,2 ,1800 MHz,65 nm,N/A,65 W
Sempron X2 2100,2 ,1800 MHz,65 nm,N/A,65 W
Sempron X2 2200,2 ,2000 MHz,65 nm,N/A,65 W
Sempron X2 2300,2 ,2.2 GHz,65 nm,N/A,65 W
Turion X2 RM-72,2 ,2.1 GHz,65 nm,N/A,35 W
Turion X2 RM-74,2 ,2.2 GHz,65 nm,N/A,35 W
Turion X2 RM-75,2 ,2.2 GHz,65 nm,N/A,35 W
Turion X2 RM-77,2 ,2.3 GHz,65 nm,N/A,35 W
Turion X2 Ultra ZM-80,2 ,2.1 GHz,65 nm,N/A,32 W
Turion X2 Ultra ZM-82,2 ,2.2 GHz,65 nm,N/A,35 W
Turion X2 Ultra ZM-84,2 ,2.3 GHz,65 nm,N/A,35 W
Turion X2 Ultra ZM-85,2 ,2.3 GHz,65 nm,N/A,35 W
Turion X2 Ultra ZM-86,2 ,2.4 GHz,65 nm,N/A,35 W
Turion X2 Ultra ZM-87,2 ,2.4 GHz,65 nm,N/A,35 W
Turion X2 Ultra ZM-88,2 ,2.5 GHz,65 nm,N/A,35 W
Athlon 64 2650e,1 ,1600 MHz,65 nm,N/A,15 W
Athlon 64 LE-1640,1 ,2.6 GHz,90 nm,N/A,45 W
Athlon II X2 215,2 ,2.7 GHz,45 nm,N/A,65 W
Athlon II X2 235e,2 ,2.7 GHz,45 nm,N/A,45 W
Athlon II X2 240,2 ,2.8 GHz,45 nm,N/A,65 W
Athlon II X2 240e,2 ,2.8 GHz,45 nm,N/A,45 W
Athlon II X2 245,2 ,2.9 GHz,45 nm,N/A,65 W
Athlon II X2 250,2 ,3 GHz,45 nm,N/A,65 W
Athlon II X2 250u,2 ,1600 MHz,45 nm,N/A,25 W
Athlon II X2 260u,2 ,1800 MHz,45 nm,N/A,25 W
Athlon II X3 400e,3 ,2.2 GHz,45 nm,N/A,45 W
Athlon II X3 405e,3 ,2.3 GHz,45 nm,N/A,45 W
Athlon II X3 425,3 ,2.7 GHz,45 nm,N/A,95 W
Athlon II X3 435,3 ,2.9 GHz,45 nm,N/A,95 W
Athlon II X4 600e,4 ,2.2 GHz,45 nm,N/A,45 W
Athlon II X4 605e,4 ,2.3 GHz,45 nm,N/A,45 W
Athlon II X4 620,4 ,2.6 GHz,45 nm,N/A,95 W
Athlon II X4 630,4 ,2.8 GHz,45 nm,N/A,95 W
Athlon X2 7850 BE,2 ,2.8 GHz,65 nm,2MB,95 W
Phenom II 42 TWKR Black Edition,4 ,2000 MHz,45 nm,6MB,125 W
Phenom II X2 545,2 ,3 GHz,45 nm,6MB,80 W
Phenom II X2 550,2 ,3.1 GHz,45 nm,6MB,80 W
Phenom II X2 550 BE,2 ,3.1 GHz,45 nm,6MB,80 W
Phenom II X2 B53,2 ,2.8 GHz,45 nm,6MB,80 W
Phenom II X2 B55,2 ,3 GHz,45 nm,6MB,80 W
Phenom II X3 700e,3 ,2.4 GHz,45 nm,6MB,65 W
Phenom II X3 705e,3 ,2.5 GHz,45 nm,6MB,65 W
Phenom II X3 710,3 ,2.6 GHz,45 nm,6MB,95 W
Phenom II X3 720 BE,3 ,2.8 GHz,45 nm,6MB,95 W
Phenom II X3 740 BE,3 ,3 GHz,45 nm,6MB,95 W
Phenom II X3 B73,3 ,2.8 GHz,45 nm,6MB,95 W
